"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217028_at",1.05521090906842,10.3531269357398,6.8732159252628,7.14956626341525e-10,1.27451028038146e-07,12.2652920752162
"212636_at",-1.11155799128251,10.2617793870844,-6.86849370812864,7.30805857880677e-10,1.2858713635186e-07,12.2441666516561
"201243_s_at",1.00887831143525,10.5395814495065,6.86788587001356,7.32871081842039e-10,1.2858713635186e-07,12.241447735808
"201417_at",1.995053471881,9.10261548165789,6.83969427301193,8.35285608925438e-10,1.45411478310043e-07,12.1154256359763
"206068_s_at",-1.53909830123904,8.6531356205802,-6.7892799327754,1.05499854888881e-09,1.82236687324724e-07,11.8904669602235
"213764_s_at",-2.68468341502545,7.4212926998854,-6.77931653783384,1.10476174488782e-09,1.89364661241041e-07,11.846070569702
"201450_s_at",1.22499561073684,8.02968359391899,6.76265229934554,1.19324043515424e-09,2.02436404771748e-07,11.7718620863768
"209603_at",1.83347568825335,8.77477564076599,6.76157563973067,1.19919245298527e-09,2.02436404771748e-07,11.7670695640008
"201540_at",-1.08924693702572,12.0314960194854,-6.74337581731837,1.30437182473065e-09,2.18536220830625e-07,11.6860941086767
"202890_at",1.81515522305049,6.29483380397205,6.73959927124491,1.32731559934918e-09,2.20720697763415e-07,11.6693001689156
"203215_s_at",1.49958664037282,7.13457473726128,6.71827595678337,1.46456227564862e-09,2.39978471378415e-07,11.5745348379473
"208650_s_at",2.15402806379354,7.83429906430863,6.71826113615638,1.46466239319053e-09,2.39978471378415e-07,11.5744690060096
"218677_at",1.15302993799509,9.51248489475455,6.70230591640841,1.57647098349492e-09,2.54554811608352e-07,11.5036249349716
"213486_at",-1.15689870746707,10.3128536954193,-6.70230553917371,1.57647372445149e-09,2.54554811608352e-07,11.5036232606356
"210517_s_at",-1.46302916026648,10.4129297412789,-6.6738842774471,1.79696213329166e-09,2.88069836087324e-07,11.3775655088955
"213247_at",-1.0503417272587,9.33577911207802,-6.66912759323993,1.83673537174078e-09,2.92342673489284e-07,11.3564854206568
"213933_at",-1.45995853042767,10.5059059299106,-6.64911370895262,2.01385017189357e-09,3.16018474509186e-07,11.2678454689749
"204731_at",-1.62987200632168,9.86746664158422,-6.62448481580299,2.25514766681941e-09,3.48968440692617e-07,11.1588892711685
"206100_at",-1.25902429458103,9.05248108047003,-6.60866225131681,2.42504040835450e-09,3.72670175305953e-07,11.0889640401406
"209210_s_at",-1.21465824580959,11.4665502978999,-6.59965369838459,2.52736381221433e-09,3.85734574161451e-07,11.0491777628364
"203324_s_at",-1.7890612605493,9.50675013450993,-6.58959080001681,2.64671983864637e-09,4.01203116765694e-07,11.0047570132584
"215379_x_at",2.31206608324189,8.89077259066444,6.58078401470155,2.75574215001167e-09,4.14906772491284e-07,10.9659003130469
