"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant","significant"
"205478_at",-3.20037327656886,8.26088329511569,-11.23962697601,5.32340249575415e-19,1.1862137781289e-14,32.5225358397862,"Yes",TRUE
"219140_s_at",-4.09282955104385,8.91119383638522,-10.9401446617181,2.24341192101618e-18,2.49949739180018e-14,31.1406793326155,"Yes",TRUE
"222317_at",-3.72311757866719,6.92115450472115,-10.5853133478663,1.24228403405821e-17,6.92045378272979e-14,29.4949807765605,"Yes",TRUE
"210964_s_at",-2.30402656266245,9.51201038000298,-10.1073073033804,1.25838491596886e-16,4.00579872607631e-13,27.2662466049251,"Yes",TRUE
"221009_s_at",-2.12586591731009,7.33427630379317,-10.0185876012359,1.93581445317273e-16,5.39196918250598e-13,26.8514135507583,"Yes",TRUE
"219295_s_at",-2.54827738438025,9.89118300148237,-9.90526143157211,3.35684641734112e-16,8.31117874640136e-13,26.3211072924816,"Yes",TRUE
"43427_at",-3.00775898517869,9.43905558328848,-9.70313756672954,8.96656968367037e-16,1.99802072261227e-12,25.3743120529432,"Yes",TRUE
"205220_at",-1.62205215689471,9.02342499795762,-9.60191651000714,1.46694093660101e-15,2.72398707419002e-12,24.8998106867146,"Yes",TRUE
"212741_at",-2.70409394161362,9.81319423083714,-9.49310253784232,2.49045778482961e-15,4.26883621687371e-12,24.3895295731671,"Yes",TRUE
"205610_at",-1.66364505694813,8.62470978173236,-9.33020783983712,5.50063953717497e-15,8.75505362906212e-12,23.6254261262474,"Yes",TRUE
"214456_x_at",-3.46158618273652,9.45412076380095,-9.27457539848159,7.20998678375073e-15,1.00412584688948e-11,23.3644452591059,"Yes",TRUE
"204388_s_at",-2.02994726750536,9.31653821772353,-9.26176137113017,7.67365308641982e-15,1.00583536308643e-11,23.3043329645566,"Yes",TRUE
"218087_s_at",-3.11367948808122,9.65893720441418,-9.2282062423599,9.0339802549495e-15,1.11835656678355e-11,23.1469236762307,"Yes",TRUE
"210298_x_at",-1.96096568665507,7.85926814493766,-9.2060139572587,1.00635693655432e-14,1.18024482195999e-11,23.0428208480918,"Yes",TRUE
"219398_at",-1.41638914391789,11.3490532980689,-9.15580416780862,1.2846698241881e-14,1.36315703297064e-11,22.8073009159735,"Yes",TRUE
"218168_s_at",-1.98824993613239,8.92094915658908,-9.07489216622265,1.90386517543773e-14,1.90068435238512e-11,22.4278155179954,"Yes",TRUE
"208510_s_at",-1.98446896390721,8.04655254047879,-9.0687211135116,1.96184266502974e-14,1.90068435238512e-11,22.3988759406662,"Yes",TRUE
"49452_at",-2.1311812747803,10.6045796000277,-9.03968416637758,2.25923209079596e-14,2.04080048727512e-11,22.2627126315064,"Yes",TRUE
"207092_at",-3.03806113201115,9.37929781390216,-9.03693358329368,2.28963838719553e-14,2.04080048727512e-11,22.2498149610039,"Yes",TRUE
"205382_s_at",-3.43281590111659,9.98676230703771,-9.01771450629283,2.51381507536861e-14,2.1544362047861e-11,22.15969887676,"Yes",TRUE
"215695_s_at",-2.42442478564842,10.1520765759344,-8.97569498276468,3.08327632058918e-14,2.45373736613174e-11,21.9626969463651,"Yes",TRUE
"219737_s_at",-1.76229341185146,8.8308828068974,-8.93857791054282,3.69257340798939e-14,2.63980121531925e-11,21.788708552449,"Yes",TRUE
"219738_s_at",-1.8905863405543,8.39476936923204,-8.93316568071083,3.79094551407872e-14,2.63980121531925e-11,21.7633409088214,"Yes",TRUE
"214414_x_at",-2.02345067419399,11.1931707503259,-8.91127376194247,4.2162868276483e-14,2.84701573880264e-11,21.6607382582168,"Yes",TRUE
"203548_s_at",-3.06801125482635,10.0961248425797,-8.87776458235983,4.96144620406746e-14,3.2516442872128e-11,21.5037106438698,"Yes",TRUE
"205913_at",-2.50955471336697,10.3532380820062,-8.85453985577958,5.55373755393036e-14,3.53582668326372e-11,21.3948942508115,"Yes",TRUE
"221928_at",-1.90122827658865,9.29055998032811,-8.76248562631869,8.68227062546522e-14,5.26677891963475e-11,20.9637419554866,"Yes",TRUE
"204997_at",-2.32869404176156,8.01487172769657,-8.76099559603131,8.74526859159385e-14,5.26677891963475e-11,20.9567653600843,"Yes",TRUE
"206243_at",-2.40996091596205,7.98252621728675,-8.60954104824425,1.82268357953983e-13,1.04533083159132e-10,20.2480615418263,"Yes",TRUE
"209699_x_at",-2.64718109388352,10.7917386529245,-8.60876482911948,1.82955178530994e-13,1.04533083159132e-10,20.2444317909565,"Yes",TRUE
"203571_s_at",-2.63077447206978,8.40550690425554,-8.5800287487217,2.10283881677264e-13,1.17143893385362e-10,20.1100755096647,"Yes",TRUE
"219064_at",-1.58085014159587,10.1641749812233,-8.48991219123395,3.25305990261696e-13,1.68576590255846e-10,19.6889908798141,"Yes",TRUE
"213071_at",-2.84891051831529,8.79746094546661,-8.45962061954593,3.76653155937904e-13,1.90749142585553e-10,19.5475427464661,"Yes",TRUE
"207175_at",-1.9713093618258,11.2762380594312,-8.4486350099253,3.97209063920667e-13,1.96689101585427e-10,19.4962572941399,"Yes",TRUE
"216331_at",-1.69520415060019,8.20301780270433,-8.41840911364675,4.59725546523408e-13,2.22697051156111e-10,19.3551853664771,"Yes",TRUE
"214063_s_at",-2.63398245463724,8.30237930427812,-8.40383250056791,4.93291107871674e-13,2.33872462908607e-10,19.2871715647917,"Yes",TRUE
"210201_x_at",-1.44297334909984,9.927564487281,-8.39004747105914,5.27279181068618e-13,2.44778374828167e-10,19.2228628849106,"Yes",TRUE
"213068_at",-2.46601079582613,9.23208934848914,-8.38478412372631,5.40863886978368e-13,2.4596061211304e-10,19.1983118146297,"Yes",TRUE
"204570_at",-2.38400631375637,8.61770837597631,-8.23867318771863,1.09506437134274e-12,4.78457242875102e-10,18.517485515286,"Yes",TRUE
"209614_at",-1.81590324675132,8.62273606207342,-8.21406804305758,1.23300264498058e-12,5.28365344963505e-10,18.4029790106818,"Yes",TRUE
"209686_at",-1.57540572846744,8.54076491158733,-8.20140705853846,1.31059623498061e-12,5.40815109334683e-10,18.3440751949352,"Yes",TRUE
